Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,author,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.028514,0.253560,0.462197,0.114449,0.168331,26.775795
fauna,author,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.008424,0.261892,0.286388,0.053097,0.107248,6.510098
fauna,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.020651,0.170805,0.343284,0.029940,0.116418,26.993056
fauna,author,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.004790,0.194714,0.125501,0.041717,0.060545,20.569375
fauna,author,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.020530,0.235663,0.464555,0.084720,0.177979,29.075570
grazing,author,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/bart.txt,0.027656,0.188912,0.464396,0.145963,0.207430,21.952704
grazing,author,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/bert.txt,0.013363,0.289399,0.397143,0.090129,0.142857,13.718833
grazing,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/longformer_ext.txt,0.009549,0.155208,0.380952,0.066879,0.155556,10.992640
grazing,author,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/none.txt,0.009109,0.241685,0.174994,0.068376,0.090603,25.426469
grazing,author,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/t5.txt,0.023006,0.166944,0.391304,0.080997,0.177019,19.341630
milk_consumption,author,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.036882,0.155028,0.400891,0.174107,0.231626,30.400897
milk_consumption,author,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.051750,0.300891,0.529827,0.156712,0.209108,-1.715341
milk_consumption,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.000624,0.066015,0.186732,0.024631,0.103194,23.105000
milk_consumption,author,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.037015,0.316766,0.306272,0.127683,0.147706,23.761073
milk_consumption,author,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.008121,0.111322,0.306433,0.091442,0.145029,34.600613
fauna,author,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.014912,0.234101,0.417553,0.085333,0.159574,9.805321
fauna,author,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.007063,0.253366,0.252331,0.057111,0.098738,-1.205506
fauna,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.005042,0.156995,0.266515,0.015982,0.091116,23.779147
fauna,author,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.004509,0.180434,0.107219,0.032892,0.053610,17.069447
fauna,author,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.017834,0.242958,0.394872,0.082262,0.161538,14.367826
grazing,author,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/bart.txt,0.014672,0.171433,0.425982,0.096970,0.169184,4.450431
grazing,author,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/bert.txt,0.009866,0.258251,0.372549,0.075529,0.140271,4.303005
grazing,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/longformer_ext.txt,0.013827,0.219995,0.428070,0.075029,0.154386,6.108243
grazing,author,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/none.txt,0.009662,0.240435,0.185055,0.063698,0.086863,18.777333
grazing,author,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/t5.txt,0.024787,0.172527,0.392857,0.083582,0.172619,15.084570
milk_consumption,author,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/bart.txt,0.043425,0.168865,0.415479,0.148980,0.213849,14.958512
milk_consumption,author,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/bert.txt,0.044395,0.313791,0.492045,0.135381,0.188636,-4.042394
milk_consumption,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/longformer_ext.txt,0.043935,0.190539,0.435272,0.114662,0.181989,6.973336
milk_consumption,author,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/none.txt,0.024934,0.285265,0.252505,0.103364,0.121131,21.954657
milk_consumption,author,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/t5.txt,0.011142,0.144900,0.375398,0.091392,0.167550,8.282263
fauna,author,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bart.txt,0.023767,0.244677,0.443526,0.088398,0.179063,13.593698
fauna,author,bert,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bert.txt,0.007519,0.270937,0.289044,0.047841,0.107226,6.698876
fauna,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.006430,0.197319,0.272727,0.036017,0.109937,19.463437
fauna,author,none,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/none.txt,0.004451,0.180653,0.119576,0.039745,0.058245,27.901869
fauna,author,t5,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/t5.txt,0.019731,0.249040,0.428571,0.081461,0.159664,35.429825
grazing,author,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/bart.txt,0.019100,0.208394,0.488529,0.102842,0.194332,11.266604
grazing,author,bert,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/bert.txt,0.007261,0.263542,0.356568,0.065772,0.130027,0.669371
grazing,author,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.011778,0.241280,0.429735,0.065306,0.154786,7.772865
grazing,author,none,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/none.txt,0.008088,0.223793,0.157389,0.055469,0.079589,18.834193
grazing,author,t5,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/t5.txt,0.029926,0.203193,0.421965,0.107246,0.173410,19.134613
milk_consumption,author,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bart.txt,0.062120,0.206722,0.460960,0.143261,0.205080,25.706744
