Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,author,none,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.011263,0.235871,0.194175,0.056951,0.099096,46.683379
fauna,gpt5.2_short,none,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.014126,0.250750,0.239171,0.067211,0.120527,46.683379
fauna,gpt5.2_long,none,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.047482,0.247561,0.547349,0.190583,0.264186,46.683379
fauna,author,bart,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.042512,0.219819,0.431779,0.097054,0.186528,36.825802
fauna,gpt5.2_short,bart,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.028103,0.157375,0.388175,0.100515,0.172237,36.825802
fauna,gpt5.2_long,bart,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.000014,0.042023,0.128075,0.047892,0.070779,36.825802
fauna,author,bert,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.019402,0.229156,0.460568,0.091772,0.189274,41.866790
fauna,gpt5.2_short,bert,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.012272,0.159459,0.400960,0.069795,0.165666,41.866790
fauna,gpt5.2_long,bert,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.000088,0.050298,0.170748,0.066225,0.094639,41.866790
fauna,author,t5,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.027334,0.174599,0.396040,0.099404,0.190099,27.577744
