plot_index,reporter_pattern,plot_description,trend_prompt_path,trend_output_path,image_path,table_csv_path,success,error,validation_status
context,,,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/02_context/context_request.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/02_context/context_output.txt,,,True,,accepted
1,mean [household-risk-att-init] of households,"This plot represents the average initial risk attitude of all social learning agents, used to store and report their initial disposition to deviate from the recommended number of livestock.",results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_01/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_01/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_01/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_01/trend_evidence_table.txt,True,,accepted
2,mean [household-risk-att] of households,This plot represents the average degree of deviation from the recommended number of livestock for all extension agents during the simulation.,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_02/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_02/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_02/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_02/trend_evidence_table.txt,True,,accepted
3,mean-reserve-biomass,"This plot represents the average amount of reserve biomass available across all patches, indicating the overall biomass condition in the model's grazing system.",results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_03/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_03/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_03/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_03/trend_evidence_table.txt,True,,accepted
4,mean-green-biomass,"This plot represents the average amount of actual available green biomass across all patches, accounting for reductions due to grazing.",results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_04/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_04/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_04/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_04/trend_evidence_table.txt,True,,accepted
5,mean [livestock + destock] of households,"This plot represents the average total number of livestock, including both healthy livestock and those that have been destocked, across all households.",results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_05/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_05/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_05/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_05/trend_evidence_table.txt,True,,accepted
6,mean [destock] of households,"This plot represents the average number of livestock that have been destocked, or removed due to insufficient resources, across all households.",results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_06/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_06/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_06/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_06/trend_evidence_table.txt,True,,accepted
7,gini-coef-total-livestock-healthy,This plot represents the inequality in the distribution of healthy livestock across all households.,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_07/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_07/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_07/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_07/trend_evidence_table.txt,True,,accepted
8,count households with [household-SL? = true],"This plot represents the number of households that have engaged in social learning, indicated by the variable household-SL being true.",results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_08/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_08/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_08/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_08/trend_evidence_table.txt,True,,accepted
9,mean [destock-total] of households,This plot represents the average cumulative number of livestock that have been destocked across all households.,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_09/trend_prompt.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_09/trend_output.txt,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_09/trend_evidence_plot.png,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260311_080607_144090/cases/21_grazing_insights+example_plot_plus_table_rep1/03_trends/plot_09/trend_evidence_table.txt,True,,accepted
