Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.018838,0.263192,0.285511,0.082651,0.128159,37.657257
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.010272,0.112412,0.352448,0.086957,0.170629,25.058500
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.031368,0.258451,0.500000,0.109777,0.190068,31.106287
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.007453,0.109278,0.291605,0.079764,0.153166,37.110696
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.027630,0.200575,0.451613,0.081897,0.167742,14.553863
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.013016,0.232389,0.208846,0.059701,0.093693,34.486473
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.020937,0.160139,0.391357,0.072202,0.153661,15.984319
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.023665,0.265320,0.385733,0.093915,0.150594,22.609972
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.016757,0.135439,0.330749,0.054404,0.147287,40.020649
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.029273,0.195784,0.392430,0.071856,0.149402,24.141471
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/none.txt,0.013878,0.258937,0.270790,0.072215,0.123024,42.777583
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bart.txt,0.012008,0.120848,0.323450,0.062162,0.148248,29.505642
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bert.txt,0.013448,0.251308,0.445743,0.086957,0.173623,30.565957
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/t5.txt,0.016573,0.121875,0.341722,0.074369,0.145695,37.182479
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.026226,0.174072,0.402235,0.064950,0.172067,13.555083
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/none.txt,0.017789,0.253987,0.294945,0.080639,0.126188,44.018909
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/bart.txt,0.017938,0.156964,0.384824,0.100543,0.176152,30.448000
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/bert.txt,0.031972,0.246015,0.481702,0.105712,0.185532,25.782885
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/t5.txt,0.000884,0.074129,0.248466,0.027692,0.119632,38.615652
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/longformer_ext.txt,0.032609,0.181456,0.413502,0.099366,0.170886,20.175102
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,Yes,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/05_fauna_role_table_rep1/02_summaries/none.txt,0.010958,0.224109,0.191651,0.051258,0.084915,38.759364
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,Yes,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/05_fauna_role_table_rep1/02_summaries/bart.txt,0.020335,0.162153,0.394705,0.069964,0.170878,29.058750
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,Yes,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/05_fauna_role_table_rep1/02_summaries/bert.txt,0.019385,0.257047,0.375000,0.080545,0.141089,16.653333
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,Yes,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/05_fauna_role_table_rep1/02_summaries/t5.txt,0.008159,0.129850,0.324190,0.037500,0.119701,44.901403
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,Yes,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/05_fauna_role_table_rep1/02_summaries/longformer_ext.txt,0.029097,0.190615,0.372093,0.061510,0.148837,38.472201
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,Yes,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/none.txt,0.014680,0.238571,0.225430,0.062222,0.097723,42.232965
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,Yes,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/bart.txt,0.017431,0.147022,0.381963,0.090426,0.159151,16.973267
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,Yes,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/bert.txt,0.021748,0.257436,0.400576,0.082251,0.158501,22.119945
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,Yes,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/t5.txt,0.003370,0.116895,0.328000,0.034759,0.125333,46.358471
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,Yes,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.013892,0.170864,0.395324,0.061768,0.142402,37.092452
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,No,No,Yes,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/07_fauna_insights_plot_rep1/02_summaries/none.txt,0.016636,0.282585,0.281293,0.078458,0.129986,31.224839
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,No,No,Yes,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/07_fauna_insights_plot_rep1/02_summaries/bart.txt,0.008624,0.115539,0.322034,0.059490,0.146893,25.339375
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,No,No,Yes,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/07_fauna_insights_plot_rep1/02_summaries/bert.txt,0.024489,0.246474,0.465313,0.101695,0.186125,22.549474
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,No,No,Yes,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/07_fauna_insights_plot_rep1/02_summaries/t5.txt,0.010470,0.115387,0.310296,0.059406,0.157969,21.361627
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,No,No,Yes,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/07_fauna_insights_plot_rep1/02_summaries/longformer_ext.txt,0.027579,0.187090,0.393750,0.075157,0.158333,20.649877
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,No,No,Yes,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/08_fauna_insights_table_rep1/02_summaries/none.txt,0.013562,0.226830,0.201273,0.066144,0.092556,31.732938
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,No,No,Yes,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/08_fauna_insights_table_rep1/02_summaries/bart.txt,0.025813,0.147575,0.365884,0.079306,0.140915,22.203114
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,No,No,Yes,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/08_fauna_insights_table_rep1/02_summaries/bert.txt,0.022637,0.236547,0.386318,0.092680,0.151576,13.937084
fauna,gpt5.2_short,t5,qwen/qwen3.5-27b,No,No,Yes,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/08_fauna_insights_table_rep1/02_summaries/t5.txt,0.014138,0.120513,0.307483,0.057299,0.144218,31.381538
fauna,gpt5.2_short,longformer_ext,qwen/qwen3.5-27b,No,No,Yes,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/08_fauna_insights_table_rep1/02_summaries/longformer_ext.txt,0.028610,0.167823,0.346399,0.052968,0.129444,26.071629
fauna,gpt5.2_short,none,qwen/qwen3.5-27b,No,No,Yes,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/09_fauna_insights_plot_plus_table_rep1/02_summaries/none.txt,0.012811,0.253421,0.252190,0.065122,0.113267,32.952598
fauna,gpt5.2_short,bart,qwen/qwen3.5-27b,No,No,Yes,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/09_fauna_insights_plot_plus_table_rep1/02_summaries/bart.txt,0.007470,0.140040,0.373510,0.063745,0.153642,28.547430
fauna,gpt5.2_short,bert,qwen/qwen3.5-27b,No,No,Yes,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/09_fauna_insights_plot_plus_table_rep1/02_summaries/bert.txt,0.015177,0.250107,0.446945,0.088567,0.163987,19.940166
