Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,modeler,none,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.028801,0.287324,0.369580,0.129506,0.156104,37.657257
fauna,modeler,bart,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.002219,0.073915,0.234513,0.055432,0.132743,25.058500
fauna,modeler,bert,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.049266,0.220725,0.467207,0.118081,0.193073,31.106287
fauna,modeler,t5,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.000817,0.066541,0.195853,0.048499,0.119816,37.110696
fauna,modeler,longformer_ext,qwen/qwen3.5-27b,No,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.012937,0.146366,0.387846,0.102059,0.176944,14.553863
fauna,modeler,none,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.014581,0.269366,0.265337,0.069860,0.119202,34.486473
fauna,modeler,bart,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.004942,0.109025,0.293542,0.052941,0.148728,15.984319
fauna,modeler,bert,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.034084,0.249279,0.425132,0.076426,0.163241,22.609972
fauna,modeler,t5,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.002603,0.085606,0.240914,0.039542,0.124611,40.020649
fauna,modeler,longformer_ext,qwen/qwen3.5-27b,No,No,No,table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.012371,0.159729,0.397318,0.055416,0.176027,24.141471
fauna,modeler,none,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/none.txt,0.027230,0.288919,0.352372,0.114304,0.147144,42.777583
fauna,modeler,bart,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bart.txt,0.003809,0.095829,0.281418,0.068891,0.139635,29.505642
fauna,modeler,bert,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bert.txt,0.034433,0.222695,0.458544,0.080866,0.175919,30.565957
fauna,modeler,t5,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/t5.txt,0.002884,0.089655,0.252119,0.050955,0.137712,37.182479
fauna,modeler,longformer_ext,qwen/qwen3.5-27b,No,No,No,plot+table,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.011879,0.133621,0.372694,0.075786,0.186347,13.555083
fauna,modeler,none,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/none.txt,0.040412,0.300305,0.387234,0.127040,0.160993,44.018909
fauna,modeler,bart,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/bart.txt,0.007746,0.119199,0.291262,0.095135,0.163970,30.448000
fauna,modeler,bert,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/bert.txt,0.067655,0.253932,0.519062,0.143906,0.212610,25.782885
fauna,modeler,t5,qwen/qwen3.5-27b,Yes,No,No,plot,1,results/qwen3.5-27b_openrouter_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260312_153523_845549/bundles/04_fauna_role_plot_rep1/02_summaries/t5.txt,0.000296,0.052927,0.185493,0.030989,0.107015,38.615652
