Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,gpt5.2_long,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.041140,0.312476,0.558568,0.195823,0.240781,20.569375
fauna,gpt5.2_long,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.000323,0.061877,0.178699,0.060253,0.100356,26.775795
fauna,gpt5.2_long,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.023321,0.187255,0.470991,0.138134,0.171848,6.510098
fauna,gpt5.2_long,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.000141,0.055487,0.182235,0.055756,0.101606,29.075570
fauna,gpt5.2_long,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.000051,0.051179,0.166122,0.047775,0.086331,26.993056
fauna,gpt5.2_long,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.030386,0.283676,0.463176,0.143322,0.191132,17.069447
fauna,gpt5.2_long,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.000617,0.064955,0.195541,0.054812,0.094268,9.805321
fauna,gpt5.2_long,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.022553,0.175095,0.440275,0.105963,0.144384,-1.205506
fauna,gpt5.2_long,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.000689,0.062896,0.190025,0.042325,0.093434,14.367826
fauna,gpt5.2_long,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.000330,0.043788,0.148806,0.023897,0.068585,23.779147
fauna,gpt5.2_long,none,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/none.txt,0.035064,0.292507,0.506800,0.161141,0.211277,27.901869
fauna,gpt5.2_long,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bart.txt,0.000363,0.064347,0.198459,0.056555,0.097624,13.593698
fauna,gpt5.2_long,bert,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bert.txt,0.021767,0.177429,0.449318,0.110678,0.159357,6.698876
fauna,gpt5.2_long,t5,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/t5.txt,0.000264,0.055615,0.174081,0.046452,0.097357,35.429825
fauna,gpt5.2_long,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.001383,0.060637,0.182364,0.047419,0.085783,19.463437
fauna,gpt5.2_long,none,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/none.txt,0.029114,0.311530,0.521530,0.158855,0.187690,10.689378
fauna,gpt5.2_long,bart,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/bart.txt,0.000249,0.064837,0.205392,0.060373,0.100128,11.482778
fauna,gpt5.2_long,bert,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/bert.txt,0.012797,0.194782,0.504753,0.118878,0.165875,0.832293
fauna,gpt5.2_long,t5,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/t5.txt,0.000008,0.046038,0.157006,0.038449,0.081484,17.809810
