case_id,abm,evidence_mode,prompt_variant,repetition,case_dir,case_summary_path,review_csv_path,validation_state_path,success,resumed_from_existing,error
01_milk_consumption_none_plot_rep1,milk_consumption,plot,none,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/01_milk_consumption_none_plot_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/01_milk_consumption_none_plot_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/01_milk_consumption_none_plot_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/01_milk_consumption_none_plot_rep1/validation_state.json,True,True,
02_milk_consumption_none_table_rep1,milk_consumption,table,none,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/02_milk_consumption_none_table_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/02_milk_consumption_none_table_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/02_milk_consumption_none_table_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/02_milk_consumption_none_table_rep1/validation_state.json,True,True,
03_milk_consumption_none_plot_plus_table_rep1,milk_consumption,plot+table,none,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/03_milk_consumption_none_plot_plus_table_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/03_milk_consumption_none_plot_plus_table_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/03_milk_consumption_none_plot_plus_table_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/03_milk_consumption_none_plot_plus_table_rep1/validation_state.json,True,True,
04_milk_consumption_role_plot_rep1,milk_consumption,plot,role,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/04_milk_consumption_role_plot_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/04_milk_consumption_role_plot_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/04_milk_consumption_role_plot_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/04_milk_consumption_role_plot_rep1/validation_state.json,True,True,
05_milk_consumption_role_table_rep1,milk_consumption,table,role,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/05_milk_consumption_role_table_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/05_milk_consumption_role_table_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/05_milk_consumption_role_table_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/05_milk_consumption_role_table_rep1/validation_state.json,True,True,
06_milk_consumption_role_plot_plus_table_rep1,milk_consumption,plot+table,role,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/06_milk_consumption_role_plot_plus_table_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/06_milk_consumption_role_plot_plus_table_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/06_milk_consumption_role_plot_plus_table_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/06_milk_consumption_role_plot_plus_table_rep1/validation_state.json,True,True,
07_milk_consumption_insights_plot_rep1,milk_consumption,plot,insights,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/07_milk_consumption_insights_plot_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/07_milk_consumption_insights_plot_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/07_milk_consumption_insights_plot_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/07_milk_consumption_insights_plot_rep1/validation_state.json,True,True,
08_milk_consumption_insights_table_rep1,milk_consumption,table,insights,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/08_milk_consumption_insights_table_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/08_milk_consumption_insights_table_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/08_milk_consumption_insights_table_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/08_milk_consumption_insights_table_rep1/validation_state.json,True,True,
09_milk_consumption_insights_plot_plus_table_rep1,milk_consumption,plot+table,insights,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/09_milk_consumption_insights_plot_plus_table_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/09_milk_consumption_insights_plot_plus_table_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/09_milk_consumption_insights_plot_plus_table_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/09_milk_consumption_insights_plot_plus_table_rep1/validation_state.json,True,True,
10_milk_consumption_example_plot_rep1,milk_consumption,plot,example,1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/10_milk_consumption_example_plot_rep1,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/10_milk_consumption_example_plot_rep1/00_case_summary.json,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/10_milk_consumption_example_plot_rep1/review.csv,results/mistral-medium-latest_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260311_111515_202107/cases/10_milk_consumption_example_plot_rep1/validation_state.json,True,True,
