record_id,bundle_id,case_id,abm,llm,evidence,prompt,role,insights,example,summarizer,repetition,reference_family,summary_output_path,BLEU,METEOR,R-1,R-2,R-L,Reading ease
01_fauna_none_plot_rep1__none__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,none,1,author,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.004790,0.194714,0.125501,0.041717,0.060545,20.569375
01_fauna_none_plot_rep1__none__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,none,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.016858,0.268582,0.231399,0.079271,0.100818,20.569375
01_fauna_none_plot_rep1__none__gpt5_2_short,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,none,1,gpt5.2_short,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.011061,0.227112,0.173896,0.058245,0.085984,20.569375
01_fauna_none_plot_rep1__none__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,none,1,gpt5.2_long,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.041140,0.312476,0.558568,0.195823,0.240781,20.569375
01_fauna_none_plot_rep1__bart__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bart,1,author,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.028514,0.253560,0.462197,0.114449,0.168331,26.775795
01_fauna_none_plot_rep1__bart__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bart,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.021378,0.142530,0.370983,0.086477,0.165289,26.775795
01_fauna_none_plot_rep1__bart__gpt5_2_short,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bart,1,gpt5.2_short,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.027578,0.193771,0.435556,0.095768,0.184444,26.775795
01_fauna_none_plot_rep1__bart__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bart,1,gpt5.2_long,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.000323,0.061877,0.178699,0.060253,0.100356,26.775795
01_fauna_none_plot_rep1__bert__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bert,1,author,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.008424,0.261892,0.286388,0.053097,0.107248,6.510098
01_fauna_none_plot_rep1__bert__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bert,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.023420,0.283616,0.433573,0.096976,0.162110,6.510098
