record_id,bundle_id,case_id,abm,llm,evidence,prompt,summarizer,repetition,summary_output_path,success,reference_family,error
01_fauna_none_plot_rep1__bart__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,bart,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__bert__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,bert,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__longformer_ext__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,longformer_ext,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__none__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,none,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__t5__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,t5,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,True,gpt5.2_long,
01_grazing_none_plot_rep1__bart__gpt5_2_long,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,moonshotai/kimi-k2.5,plot,none,bart,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/bart.txt,True,gpt5.2_long,
01_grazing_none_plot_rep1__bert__gpt5_2_long,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,moonshotai/kimi-k2.5,plot,none,bert,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/bert.txt,True,gpt5.2_long,
01_grazing_none_plot_rep1__longformer_ext__gpt5_2_long,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,moonshotai/kimi-k2.5,plot,none,longformer_ext,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/longformer_ext.txt,True,gpt5.2_long,
01_grazing_none_plot_rep1__none__gpt5_2_long,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,moonshotai/kimi-k2.5,plot,none,none,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/none.txt,True,gpt5.2_long,
01_grazing_none_plot_rep1__t5__gpt5_2_long,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,moonshotai/kimi-k2.5,plot,none,t5,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_grazing_none_plot_rep1/02_summaries/t5.txt,True,gpt5.2_long,
01_milk_consumption_none_plot_rep1__bart__gpt5_2_long,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,bart,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,True,gpt5.2_long,
01_milk_consumption_none_plot_rep1__bert__gpt5_2_long,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,bert,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,True,gpt5.2_long,
01_milk_consumption_none_plot_rep1__longformer_ext__gpt5_2_long,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,longformer_ext,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,True,gpt5.2_long,
01_milk_consumption_none_plot_rep1__none__gpt5_2_long,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,none,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,True,gpt5.2_long,
01_milk_consumption_none_plot_rep1__t5__gpt5_2_long,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,t5,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,True,gpt5.2_long,
02_fauna_none_table_rep1__bart__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,moonshotai/kimi-k2.5,table,none,bart,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,True,gpt5.2_long,
02_fauna_none_table_rep1__bert__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,moonshotai/kimi-k2.5,table,none,bert,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,True,gpt5.2_long,
02_fauna_none_table_rep1__longformer_ext__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,moonshotai/kimi-k2.5,table,none,longformer_ext,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,True,gpt5.2_long,
02_fauna_none_table_rep1__none__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,moonshotai/kimi-k2.5,table,none,none,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,True,gpt5.2_long,
02_fauna_none_table_rep1__t5__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,moonshotai/kimi-k2.5,table,none,t5,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,True,gpt5.2_long,
02_grazing_none_table_rep1__bart__gpt5_2_long,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,moonshotai/kimi-k2.5,table,none,bart,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/bart.txt,True,gpt5.2_long,
02_grazing_none_table_rep1__bert__gpt5_2_long,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,moonshotai/kimi-k2.5,table,none,bert,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/bert.txt,True,gpt5.2_long,
