Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,gpt5.2_short,none,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.014126,0.250750,0.239171,0.067211,0.120527,46.683379
fauna,gpt5.2_short,bart,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.028103,0.157375,0.388175,0.100515,0.172237,36.825802
fauna,gpt5.2_short,bert,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.012272,0.159459,0.400960,0.069795,0.165666,41.866790
fauna,gpt5.2_short,t5,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.002756,0.118419,0.309659,0.054131,0.139205,27.577744
fauna,gpt5.2_short,longformer_ext,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.043524,0.188716,0.406283,0.096537,0.180105,32.333467
fauna,gpt5.2_short,none,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.010341,0.208354,0.165366,0.050644,0.085214,37.233600
fauna,gpt5.2_short,bart,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.038355,0.171064,0.408019,0.111111,0.183962,31.056627
fauna,gpt5.2_short,bert,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.027709,0.194882,0.383023,0.074689,0.167702,34.201704
fauna,gpt5.2_short,t5,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.009659,0.162867,0.375152,0.068376,0.163216,20.353000
fauna,gpt5.2_short,longformer_ext,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.046150,0.200519,0.417629,0.103049,0.182581,34.978667
