Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,modeler,none,mistral-medium-latest,No,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.037789,0.301393,0.352000,0.128669,0.157037,46.683379
fauna,modeler,bart,mistral-medium-latest,No,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.014935,0.120367,0.335057,0.118135,0.163392,36.825802
fauna,modeler,bert,mistral-medium-latest,No,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.017162,0.144083,0.387476,0.105882,0.178082,41.866790
fauna,modeler,t5,mistral-medium-latest,No,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.002506,0.084633,0.246361,0.062851,0.134378,27.577744
fauna,modeler,longformer_ext,mistral-medium-latest,No,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.038240,0.176382,0.452797,0.129597,0.202797,32.333467
fauna,modeler,none,mistral-medium-latest,No,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.015642,0.257399,0.238540,0.079951,0.111968,37.233600
fauna,modeler,bart,mistral-medium-latest,No,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.013283,0.142245,0.362584,0.110145,0.169720,31.056627
fauna,modeler,bert,mistral-medium-latest,No,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.015616,0.167884,0.405195,0.088465,0.181818,34.201704
fauna,modeler,t5,mistral-medium-latest,No,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.010596,0.120331,0.324752,0.069444,0.158416,20.353000
fauna,modeler,longformer_ext,mistral-medium-latest,No,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.031528,0.180156,0.416813,0.098246,0.187391,34.978667
fauna,modeler,none,mistral-medium-latest,No,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/none.txt,0.032509,0.275384,0.289918,0.108108,0.131211,40.249156
fauna,modeler,bart,mistral-medium-latest,No,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bart.txt,0.011625,0.123596,0.339017,0.080402,0.160481,25.438256
fauna,modeler,bert,mistral-medium-latest,No,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bert.txt,0.033152,0.153629,0.386509,0.105936,0.182315,30.270433
fauna,modeler,t5,mistral-medium-latest,No,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/t5.txt,0.009051,0.105355,0.301370,0.073918,0.164384,39.951200
fauna,modeler,longformer_ext,mistral-medium-latest,No,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.075098,0.231959,0.515837,0.152568,0.218703,34.864858
fauna,modeler,none,mistral-medium-latest,Yes,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_fauna_role_plot_rep1/02_summaries/none.txt,0.034673,0.299498,0.341686,0.133903,0.156036,41.718133
fauna,modeler,bart,mistral-medium-latest,Yes,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_fauna_role_plot_rep1/02_summaries/bart.txt,0.008726,0.119849,0.308478,0.083930,0.161389,18.193846
fauna,modeler,bert,mistral-medium-latest,Yes,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_fauna_role_plot_rep1/02_summaries/bert.txt,0.037588,0.172865,0.407895,0.129944,0.206767,30.621255
fauna,modeler,t5,mistral-medium-latest,Yes,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_fauna_role_plot_rep1/02_summaries/t5.txt,0.005388,0.108678,0.315902,0.094118,0.147279,39.384022
fauna,modeler,longformer_ext,mistral-medium-latest,Yes,No,No,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_fauna_role_plot_rep1/02_summaries/longformer_ext.txt,0.022396,0.136850,0.379535,0.106244,0.171163,37.846821
fauna,modeler,none,mistral-medium-latest,Yes,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_fauna_role_table_rep1/02_summaries/none.txt,0.011692,0.256212,0.226250,0.076718,0.107593,40.213427
fauna,modeler,bart,mistral-medium-latest,Yes,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_fauna_role_table_rep1/02_summaries/bart.txt,0.023969,0.176142,0.416816,0.109319,0.193202,29.670123
fauna,modeler,bert,mistral-medium-latest,Yes,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_fauna_role_table_rep1/02_summaries/bert.txt,0.025699,0.189047,0.420168,0.084175,0.189916,27.066149
fauna,modeler,t5,mistral-medium-latest,Yes,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_fauna_role_table_rep1/02_summaries/t5.txt,0.011698,0.133828,0.342857,0.094768,0.159606,35.764048
fauna,modeler,longformer_ext,mistral-medium-latest,Yes,No,No,table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_fauna_role_table_rep1/02_summaries/longformer_ext.txt,0.020948,0.140023,0.357324,0.089907,0.176122,55.874320
fauna,modeler,none,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/none.txt,0.027496,0.273038,0.277259,0.107948,0.129752,38.916984
fauna,modeler,bart,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/bart.txt,0.012137,0.138007,0.361868,0.091618,0.173152,25.678275
fauna,modeler,bert,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/bert.txt,0.036446,0.195422,0.428571,0.115183,0.193380,30.119318
fauna,modeler,t5,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/t5.txt,0.010945,0.118607,0.337079,0.092119,0.167518,34.399600
fauna,modeler,longformer_ext,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.029948,0.195029,0.448758,0.116641,0.190994,27.284428
fauna,modeler,none,mistral-medium-latest,No,No,Yes,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/07_fauna_insights_plot_rep1/02_summaries/none.txt,0.031627,0.293980,0.303492,0.110728,0.133301,38.217714
fauna,modeler,bart,mistral-medium-latest,No,No,Yes,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/07_fauna_insights_plot_rep1/02_summaries/bart.txt,0.012504,0.122501,0.304260,0.077236,0.137931,28.656728
fauna,modeler,bert,mistral-medium-latest,No,No,Yes,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/07_fauna_insights_plot_rep1/02_summaries/bert.txt,0.034306,0.182520,0.444243,0.116258,0.201269,34.898985
fauna,modeler,t5,mistral-medium-latest,No,No,Yes,plot,1,results/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/07_fauna_insights_plot_rep1/02_summaries/t5.txt,0.011828,0.115035,0.312500,0.079332,0.158333,28.004303
