case_id,abm,evidence_mode,prompt_variant,repetition,case_dir,case_summary_path,review_csv_path,validation_state_path,success,resumed_from_existing,error
01_grazing_none_plot_rep1,grazing,plot,none,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/01_grazing_none_plot_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/01_grazing_none_plot_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/01_grazing_none_plot_rep1/validation_state.json,True,True,
02_grazing_none_table_rep1,grazing,table,none,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/02_grazing_none_table_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/02_grazing_none_table_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/02_grazing_none_table_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/02_grazing_none_table_rep1/validation_state.json,True,True,
03_grazing_none_plot_plus_table_rep1,grazing,plot+table,none,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/03_grazing_none_plot_plus_table_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/03_grazing_none_plot_plus_table_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/03_grazing_none_plot_plus_table_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/03_grazing_none_plot_plus_table_rep1/validation_state.json,True,True,
04_grazing_role_plot_rep1,grazing,plot,role,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/04_grazing_role_plot_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/04_grazing_role_plot_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/04_grazing_role_plot_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/04_grazing_role_plot_rep1/validation_state.json,True,True,
05_grazing_role_table_rep1,grazing,table,role,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/05_grazing_role_table_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/05_grazing_role_table_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/05_grazing_role_table_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/05_grazing_role_table_rep1/validation_state.json,True,True,
06_grazing_role_plot_plus_table_rep1,grazing,plot+table,role,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/06_grazing_role_plot_plus_table_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/06_grazing_role_plot_plus_table_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/06_grazing_role_plot_plus_table_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/06_grazing_role_plot_plus_table_rep1/validation_state.json,True,True,
07_grazing_insights_plot_rep1,grazing,plot,insights,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/07_grazing_insights_plot_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/07_grazing_insights_plot_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/07_grazing_insights_plot_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/07_grazing_insights_plot_rep1/validation_state.json,True,True,
08_grazing_insights_table_rep1,grazing,table,insights,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/08_grazing_insights_table_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/08_grazing_insights_table_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/08_grazing_insights_table_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/08_grazing_insights_table_rep1/validation_state.json,True,True,
09_grazing_insights_plot_plus_table_rep1,grazing,plot+table,insights,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/09_grazing_insights_plot_plus_table_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/09_grazing_insights_plot_plus_table_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/09_grazing_insights_plot_plus_table_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/09_grazing_insights_plot_plus_table_rep1/validation_state.json,True,True,
10_grazing_example_plot_rep1,grazing,plot,example,1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/10_grazing_example_plot_rep1,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/10_grazing_example_plot_rep1/00_case_summary.json,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/10_grazing_example_plot_rep1/review.csv,results/mistral_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260309_145053_442490/cases/10_grazing_example_plot_rep1/validation_state.json,True,True,
