record_id,bundle_id,case_id,abm,llm,evidence,prompt,role,insights,example,summarizer,repetition,reference_family,summary_output_path,BLEU,METEOR,R-1,R-2,R-L,Reading ease
01_fauna_none_plot_rep1__none__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,False,False,False,none,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.047482,0.247561,0.547349,0.190583,0.264186,46.683379
01_fauna_none_plot_rep1__bart__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,False,False,False,bart,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.000014,0.042023,0.128075,0.047892,0.070779,36.825802
01_fauna_none_plot_rep1__bert__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,False,False,False,bert,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.000088,0.050298,0.170748,0.066225,0.094639,41.866790
01_fauna_none_plot_rep1__t5__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,False,False,False,t5,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.000000,0.030991,0.096094,0.034590,0.057380,27.577744
01_fauna_none_plot_rep1__longformer_ext__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,False,False,False,longformer_ext,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.000556,0.066095,0.204835,0.062381,0.098601,32.333467
02_fauna_none_table_rep1__none__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,mistral-medium-latest,table,none,False,False,False,none,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.032619,0.256583,0.448196,0.140589,0.212698,37.233600
02_fauna_none_table_rep1__bart__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,mistral-medium-latest,table,none,False,False,False,bart,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.000112,0.050047,0.156734,0.054036,0.084294,31.056627
02_fauna_none_table_rep1__bert__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,mistral-medium-latest,table,none,False,False,False,bert,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.000909,0.065980,0.194612,0.064066,0.102694,34.201704
02_fauna_none_table_rep1__t5__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,mistral-medium-latest,table,none,False,False,False,t5,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.000055,0.047162,0.137542,0.039229,0.076412,20.353000
02_fauna_none_table_rep1__longformer_ext__gpt5_2_long,02_fauna_none_table_rep1,02_fauna_none_table_rep1,fauna,mistral-medium-latest,table,none,False,False,False,longformer_ext,1,gpt5.2_long,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.000451,0.063817,0.187142,0.054777,0.096117,34.978667
