record_id,bundle_id,case_id,abm,llm,evidence,prompt,role,insights,example,summarizer,repetition,reference_family,summary_output_path,BLEU,METEOR,R-1,R-2,R-L,Reading ease
01_grazing_none_plot_rep1__none,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,False,False,False,none,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/none.txt,0.078981,0.078981,0.078981,0.039490,0.078981,0.000000
01_grazing_none_plot_rep1__bart,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,False,False,False,bart,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/bart.txt,0.157738,0.157738,0.157738,0.078869,0.157738,0.000000
01_grazing_none_plot_rep1__bert,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,False,False,False,bert,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/bert.txt,0.128686,0.128686,0.128686,0.064343,0.128686,0.000000
01_grazing_none_plot_rep1__t5,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,False,False,False,t5,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/t5.txt,0.152381,0.152381,0.152381,0.076190,0.152381,0.000000
01_grazing_none_plot_rep1__longformer_ext,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,False,False,False,longformer_ext,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/longformer_ext.txt,0.094176,0.094176,0.094176,0.047088,0.094176,0.000000
02_grazing_none_table_rep1__none,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,False,False,False,none,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/none.txt,0.085714,0.085714,0.085714,0.042857,0.085714,0.000000
02_grazing_none_table_rep1__bart,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,False,False,False,bart,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/bart.txt,0.144928,0.144928,0.144928,0.072464,0.144928,0.000000
02_grazing_none_table_rep1__bert,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,False,False,False,bert,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/bert.txt,0.136054,0.136054,0.136054,0.068027,0.136054,0.000000
02_grazing_none_table_rep1__t5,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,False,False,False,t5,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/t5.txt,0.144366,0.144366,0.144366,0.072183,0.144366,0.000000
02_grazing_none_table_rep1__longformer_ext,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,False,False,False,longformer_ext,1,author,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/longformer_ext.txt,0.026667,0.026667,0.026667,0.013333,0.026667,43.200000
