record_id,bundle_id,case_id,abm,llm,evidence,prompt,role,insights,example,summarizer,repetition,reference_family,summary_output_path,BLEU,METEOR,R-1,R-2,R-L,Reading ease
01_milk_consumption_none_plot_rep1__none__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,mistral-medium-latest,plot,none,False,False,False,none,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.042099,0.304882,0.368764,0.173661,0.200289,51.446576
01_milk_consumption_none_plot_rep1__bart__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,mistral-medium-latest,plot,none,False,False,False,bart,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.022609,0.130420,0.324130,0.137184,0.180072,44.771205
01_milk_consumption_none_plot_rep1__bert__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,mistral-medium-latest,plot,none,False,False,False,bert,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.043834,0.216352,0.452579,0.130000,0.217970,41.084119
01_milk_consumption_none_plot_rep1__t5__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,mistral-medium-latest,plot,none,False,False,False,t5,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.006508,0.107528,0.277571,0.089441,0.148699,51.168564
01_milk_consumption_none_plot_rep1__longformer_ext__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,mistral-medium-latest,plot,none,False,False,False,longformer_ext,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.075760,0.213482,0.499525,0.194101,0.233618,45.230694
02_milk_consumption_none_table_rep1__none__modeler,02_milk_consumption_none_table_rep1,02_milk_consumption_none_table_rep1,milk_consumption,mistral-medium-latest,table,none,False,False,False,none,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/none.txt,0.021184,0.271482,0.296468,0.115875,0.156920,42.289114
02_milk_consumption_none_table_rep1__bart__modeler,02_milk_consumption_none_table_rep1,02_milk_consumption_none_table_rep1,milk_consumption,mistral-medium-latest,table,none,False,False,False,bart,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/bart.txt,0.036164,0.170102,0.394877,0.117647,0.198506,47.521479
02_milk_consumption_none_table_rep1__bert__modeler,02_milk_consumption_none_table_rep1,02_milk_consumption_none_table_rep1,milk_consumption,mistral-medium-latest,table,none,False,False,False,bert,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/bert.txt,0.034163,0.207165,0.371409,0.113684,0.193413,28.637145
02_milk_consumption_none_table_rep1__t5__modeler,02_milk_consumption_none_table_rep1,02_milk_consumption_none_table_rep1,milk_consumption,mistral-medium-latest,table,none,False,False,False,t5,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/t5.txt,0.003343,0.082138,0.209332,0.048040,0.103405,44.676144
02_milk_consumption_none_table_rep1__longformer_ext__modeler,02_milk_consumption_none_table_rep1,02_milk_consumption_none_table_rep1,milk_consumption,mistral-medium-latest,table,none,False,False,False,longformer_ext,1,modeler,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/longformer_ext.txt,0.048877,0.165024,0.341509,0.105860,0.166038,32.954592
